real,pre
48,56.395
57,50.48
61,55.67
45,48.49
50,52.71
28,44.765
62,43.21
50,50.37
40,39.505
46,41.8
35,36.37
26,26.445
29,26.35
43,39.665
40,36.615
20,17.645
24,25.095
29,27.775
29,27.025
35,33.825
27,31.505
29,27.775
27,30.515
24,23.66
30,24.065
28,26.57
26,23.09
13,18.5
34,30.495
34,30.975
15,19.99
19,21.895
29,26.04
23,26.52
27,26.555
22,25.82
25,26.67
33,31.015
29,31.97
27,27.705
27,26.565
36,36.39
46,43.155
37,37.18
47,40.31
35,42.275
46,40.405
70,65.78
67,65.295
71,74.7
50,54.34
63,63.11
87,84.615
93,92.39
101,100.55
104,97.95
136,131.835
133,126.67
103,110.945
131,130.625
139,135.78
145,145.135
141,138.735
162,153.83
206,216.975
242,235.765
242,245.185
295,299.865
364,346.57
368,366.565
409,381.445
346,363.72
343,364.375
367,370.47
393,394.56
473,437.83
444,438.725
427,441.62
528,533.975
594,600.885
629,625.86
634,645.525
667,646.655
593,614.1
618,606.815
520,542.3
585,566.015
612,597.83
621,623.71
636,635.78
671,675.23
699,685.925
692,705.845
686,701.27
689,678.77
632,643.155
626,631.495
673,647.635
638,649.39
678,672.935
646,658.775
652,668.195
693,680.08
712,691.51
691,675.665
609,632.85
689,652.06
608,627.835
654,631.23
589,611.32
637,615.775
587,579.785
578,555.025
524,548.605
538,534.62
543,535.99
559,550.185
530,573.575
538,541.36
506,512.88
463,464.97
406,431.455
464,458.27
478,463.31
444,460.48
465,450.84
459,458.74
429,441.505
453,461.545
444,453.315
443,437.93
449,448.7
436,439.775
452,446.61
437,436.66
420,426.82
382,397.195
398,379.89
384,395.765
468,446.16
492,482.37
523,514.74
541,533.52
554,529.79
462,486.315
444,461.02
446,464.9
456,456.525
465,460.795
447,453.665
462,463.005
478,470.87
466,471.365
456,439.3
485,448.465
436,440.895
418,428.025
484,467.345
481,483.415
457,466.015
474,476.22
492,490.585
471,462.745
437,452.65
488,465.12
463,455.01
479,460.145
484,474.355
407,449.2
506,481.085
534,509.955
460,480.295
508,486.045
437,461.935
440,460.145
500,492.225
504,506.335
511,497.13
481,484.32
469,483.45
498,493.275
484,503.065
538,531.89
587,550.86
567,544.83
517,521.465
509,520.26
570,553.35
547,548.455
557,552.095
538,553.215
564,550.15
543,534.15
541,556.29
627,612.14
621,624.195
625,624.535
582,594.11
639,577.83
621,546.75
586,616.28
678,609.875
579,583.205
617,617.79
587,632.335
624,628.525
658,640.435
624,630.505
637,615.065
589,591.595
579,581.215
570,565.195
488,511.29
555,527.42
513,516.185
508,497.49
460,473.05
512,490.845
456,469.27
475,482.365
520,517.885
466,461.325
450,454.65
448,456.95
486,461.215
422,423.83
431,422.59
353,361.165
373,367.53
350,354.67
352,353.61
357,368.895
347,353.46
314,307.945
278,284.48
301,290.475
277,266.77
260,255.3
280,260.25
253,249.865
251,260.98
259,260.415
253,253.15
263,259.64
248,258.02
252,255.27
228,234.14
223,225.3
238,233.1
227,231.7
207,226.425
240,223.08
187,215.35
231,225.21
214,221.54
224,217.895
269,260.0
248,253.825
221,201.005
193,192.915
186,179.875
186,182.26
180,183.96
187,180.795
172,173.785
168,184.465
192,191.74
197,196.83
192,199.665
157,153.4
153,144.61
121,131.67
138,136.76
134,131.195
107,118.345
125,116.135
76,87.375
91,90.425
106,100.17
96,102.55
90,87.825
62,66.11
86,80.23
91,81.985
79,86.45
73,71.125
67,63.705
53,58.335
