real,pre
48,95.26132207996397
57,89.03225045386716
61,82.77066633130835
45,76.51041274466525
50,70.28439816194168
28,64.12455297950146
62,58.06178806961543
50,52.125955498605435
40,46.34581142990055
46,40.74898131961481
35,35.36192742197409
26,30.20991868103647
29,25.317003039148403
43,20.705982232291717
40,16.398389062105707
20,12.414467236986638
24,8.773153751603786
29,5.492063877261444
29,2.587478737082165
35,0.07433550955465762
27,-2.0337797436050096
29,-3.724636623324841
27,-4.9873623284174755
24,-5.812440964404686
30,-6.191710250665892
28,-6.11835567070375
26,-5.586902041718531
13,-4.593202573815233
34,-3.134425433220713
34,-1.209037856780924
15,1.1832121507804914
19,4.041316435665522
29,7.3630296909545905
23,11.144894607217793
27,15.382269279581124
22,20.06935668248434
25,25.199236197319806
33,30.76389709670093
29,36.75427394611688
27,43.16028375153019
27,49.970864876214364
36,57.17401753973627
46,64.75684586550096
37,72.70560136156155
47,81.00572773317117
35,89.64190691647491
46,98.5981062694409
70,107.85762672855435
67,117.40315194574032
71,127.21679816933965
50,137.28016487378818
63,147.57438589572212
87,158.08018110815055
93,168.77790841265187
101,179.64761597874804
104,190.66909458255304
136,201.82192998602932
133,213.0855552087114
103,224.43930256892145
131,235.86245539650554
139,247.33429931028058
145,258.83417294965784
141,270.3415180210877
162,281.835928621128
206,293.2971996553824
242,304.7053742965845
242,316.0407903704954
295,327.2841255799831
364,338.41644145391456
368,349.4192259656811
409,360.27443468669026
346,370.96453043348447
343,381.47252131603
367,391.78199708883767
393,401.877163773348
473,411.742876446634
444,421.36467015817107
427,430.7287888980136
528,439.82221260507777
594,448.6326820842405
629,457.1487218712491
634,465.35966095810727
667,473.2556513630807
593,480.8276845243181
618,488.0676054617852
520,494.9681247220451
585,501.5228280598276
612,507.72618391455217
621,513.5735485676778
636,519.0611690864062
671,524.1861840445017
699,528.9466219415754
692,533.341397479533
686,537.3703056266168
689,541.0340134989492
632,544.3340501371731
626,547.2727941885423
673,549.853459543172
638,552.0800789615478
678,553.9574857869065
646,555.4912937201134
652,556.6878748151794
693,557.5543356667258
712,558.0984919498824
691,558.3288412903803
609,558.2545346519073
689,557.8853461904691
608,557.2316417644633
654,556.3043461689376
589,555.114909122216
637,553.6752701431978
587,551.9978224639344
578,550.0953759339936
524,547.9811191719673
538,545.6685809178234
543,543.1715908374026
559,540.5042397568541
530,537.6808394586187
538,534.7158821972771
506,531.623999997817
463,528.419923824742
406,525.1184427431544
464,521.7343632046177
478,518.2824684976331
444,514.7774785331567
465,511.2340100397814
459,507.6665371665913
429,504.08935285959524
453,500.5165307712232
444,496.9618880253511
443,493.4389489012465
449,489.96090943016316
436,486.5406030752274
452,483.1904675539954
437,479.9225128654216
