real,pre
48,67.3446
57,64.93061
61,68.87435
45,63.511322
50,58.57693
28,52.067364
62,58.181973
50,60.596157
40,50.28196
46,51.187817
35,46.117504
26,41.015705
29,42.279007
43,51.065006
40,49.109734
20,26.93424
24,33.699646
29,38.055885
29,40.05344
35,44.69708
27,37.430218
29,38.65431
27,41.543564
24,29.740295
30,36.98621
28,40.42438
26,36.104874
13,30.785639
34,51.259727
34,43.508842
15,30.978336
19,34.9959
29,37.89024
23,39.201225
27,32.237152
22,38.036747
25,33.885124
33,36.621086
29,44.044662
27,35.632786
27,39.057907
36,47.84557
46,53.12342
37,53.04715
47,50.07626
35,55.048462
46,49.1171
70,73.93226
67,80.00655
71,85.732025
50,61.815754
63,72.729454
87,102.774506
93,99.1324
101,116.11177
104,104.06395
136,148.47636
133,141.87328
103,113.00225
131,138.34286
139,140.27252
145,151.00565
141,142.4854
162,156.87314
206,218.62418
242,240.45334
242,242.36118
295,307.69647
364,345.78912
368,366.28568
409,383.98822
346,346.04083
343,373.28067
367,357.5043
393,386.60715
473,435.91714
444,433.70856
427,430.14355
528,521.6093
594,591.8486
629,601.8744
634,624.5161
667,606.08307
593,604.9635
618,596.9618
520,501.2209
585,568.1312
612,598.76886
621,590.66113
636,616.28046
671,654.4736
699,679.728
692,665.6622
686,678.9913
689,672.78265
632,622.49475
626,610.9196
673,648.24725
638,641.6495
678,657.02264
646,641.07806
652,664.6037
693,675.7101
712,696.90204
691,662.84924
609,633.5346
689,664.0555
608,599.25116
654,610.35266
589,592.9302
637,605.3764
587,574.76587
578,540.20135
524,531.6435
538,517.69006
543,541.8872
559,541.5598
530,576.7636
538,511.8885
506,521.2958
463,469.35703
406,415.82736
464,449.54837
478,472.79877
444,442.52353
465,443.5787
459,462.94553
429,431.78354
453,449.1493
444,443.7493
443,447.62875
449,421.44434
436,422.52707
452,447.6542
437,403.18164
420,442.88837
382,387.78348
398,388.11624
384,388.8562
468,444.19275
492,481.72684
523,505.52225
541,527.4551
554,540.63324
462,478.5312
444,455.6107
446,443.5732
456,460.99796
465,459.12964
447,429.53934
462,454.54156
478,467.65894
466,473.8482
456,444.42596
485,468.65094
436,439.6493
418,406.5042
484,463.10748
481,473.07364
457,456.78525
474,485.8067
492,473.11365
471,461.2053
437,446.18213
488,464.20596
463,445.26974
479,478.51334
484,483.3138
407,425.6419
506,485.1482
534,490.4412
460,443.78503
508,499.26877
437,445.46222
440,434.95294
500,499.42776
504,513.9997
511,531.8583
481,463.9791
469,507.46658
498,488.35275
484,510.4055
538,530.0728
587,575.37714
567,559.56464
517,521.4845
509,514.63525
570,561.323
547,551.72217
557,547.657
538,544.269
564,550.5218
543,517.6335
541,546.97876
627,623.28186
621,617.72687
625,621.1698
582,590.27563
639,581.1851
621,561.98267
586,619.1749
678,603.4878
579,581.9624
617,612.05725
587,607.17566
624,598.94684
658,627.22406
624,612.24194
637,596.0808
589,577.1573
579,551.54425
570,548.33057
488,522.5655
555,527.44525
513,525.9326
508,481.78464
460,482.47137
512,511.9969
456,475.56094
475,450.20255
520,530.2093
466,462.08313
450,457.0427
448,453.00546
486,477.81693
422,420.8531
431,420.97
353,355.86993
373,377.59366
350,354.9936
352,355.78436
357,367.9154
347,355.98718
314,324.78784
278,284.7915
301,304.33722
277,291.46744
260,252.59836
280,279.01083
253,248.27995
251,252.30698
259,271.23303
253,266.6399
263,262.58295
248,268.3555
252,262.81015
228,237.53728
223,233.06883
238,239.5717
227,235.40068
207,243.3631
240,236.3864
187,214.74878
231,231.48994
214,222.60678
224,233.14914
269,277.05405
248,261.2571
221,218.78159
193,199.22322
186,191.35985
186,180.94275
180,189.45409
187,185.52649
172,177.84537
168,189.32204
192,202.76256
197,194.24634
192,208.49763
157,163.30278
153,157.06151
121,140.19731
138,151.64009
134,139.63292
107,124.32863
125,124.80957
76,105.18223
91,102.94249
106,119.3521
96,113.70516
90,99.37958
62,77.04551
86,95.3357
91,94.05285
79,99.42727
73,84.10938
67,76.67289
53,70.727356
