real,pre
72.4,76.063675
73.2,75.6899
73.2,76.84425
73.0,76.948685
73.0,77.40794
70.3,71.10612
63.8,73.64467
72.1,75.984055
72.4,75.46343
74.0,77.59419
75.1,77.64451
73.2,76.544395
72.2,75.614586
74.1,77.08333
71.4,75.86769
70.2,76.799416
70.5,76.28091
71.0,73.44795
69.8,72.663574
70.4,74.7606
67.8,72.036995
68.3,73.4889
70.9,74.221436
65.6,70.063934
66.5,69.34473
63.2,68.64298
66.0,69.80619
61.6,66.62655
61.8,65.60012
67.7,68.60761
59.5,65.30787
65.0,68.0832
64.2,68.51787
62.9,68.483826
62.6,67.06344
62.0,67.14586
65.5,68.80761
64.1,67.988914
63.5,67.689674
59.8,66.98244
62.8,67.82312
66.0,69.91503
66.6,70.11937
68.3,72.12129
66.1,68.88574
67.1,68.83504
63.7,69.61949
68.4,70.97421
68.2,69.88087
66.2,69.93778
67.0,70.83611
68.7,72.160164
67.9,71.17888
69.0,72.10502
67.3,71.651596
68.0,71.69252
68.9,71.448524
67.5,71.15362
69.1,72.695724
68.0,72.70058
69.8,73.41261
70.1,73.331085
69.1,73.16352
70.7,74.22918
69.8,73.742
70.5,73.41435
68.4,72.32416
69.4,72.547714
68.3,72.20277
68.7,72.301575
68.9,72.45375
69.6,72.81086
69.9,72.465866
68.8,72.93052
69.0,72.393265
66.8,70.38116
68.7,72.277916
68.0,71.51434
64.8,67.64515
63.7,63.868668
62.3,64.09215
62.3,61.30731
63.7,55.143448
65.1,58.14398
64.1,66.75555
66.6,68.86242
64.2,66.0966
65.6,67.38194
64.4,66.76939
65.3,61.94707
64.3,60.247547
64.4,63.397354
66.2,65.081436
67.2,67.02198
66.6,67.51922
69.0,68.31432
67.9,67.71041
67.5,68.281334
69.6,67.792274
68.7,68.35035
68.9,68.422005
68.9,64.61877
68.9,68.82194
69.1,64.95014
69.5,59.687386
69.5,68.403984
69.7,69.65705
71.3,72.18664
69.8,71.50413
70.7,71.73455
70.9,72.23381
71.2,72.80822
72.2,73.83922
71.6,73.136635
71.8,74.380264
72.2,73.86586
69.9,72.867
71.9,71.087494
72.8,74.97414
74.5,75.53599
72.6,75.546646
72.9,76.06751
72.4,74.9132
73.9,75.986
73.7,76.63557
71.4,75.6579
74.0,75.97534
74.5,76.287445
72.5,75.595634
73.3,75.98838
72.9,75.33625
71.4,73.457054
69.4,71.34614
70.3,72.621956
72.8,74.82584
71.6,73.9783
72.1,74.57075
73.1,74.2218
73.0,74.18488
70.6,70.57537
69.4,71.119545
67.1,69.0525
63.4,62.458687
64.6,60.41492
66.0,66.50583
68.5,69.11969
67.2,69.85259
67.8,70.84752
68.2,70.469894
66.5,68.54044
66.2,66.11137
64.5,66.19364
66.6,67.93552
64.6,68.02582
67.3,69.44058
70.2,71.494095
70.2,72.412285
68.3,70.84799
68.4,70.85388
68.1,70.52092
67.2,69.82563
68.1,70.04642
68.9,71.045235
68.7,71.72478
68.0,70.977806
67.0,69.89674
69.0,70.16431
67.5,70.0762
68.4,70.16532
67.2,68.78885
65.7,67.77685
66.8,67.59194
66.2,67.770935
67.7,70.43899
67.3,70.7812
65.1,68.16986
66.8,68.43913
67.2,67.56038
67.3,69.93088
65.2,66.85792
65.5,66.85826
67.3,67.25066
67.8,64.217896
66.6,67.10854
69.0,69.26576
70.2,72.68699
71.1,72.36952
69.2,70.645294
71.1,71.71569
70.7,71.78228
70.2,70.08595
71.4,72.74926
72.5,74.45322
70.2,72.865234
70.3,70.55783
70.4,71.09012
69.9,70.54022
70.7,70.30395
67.4,69.62283
66.2,67.02745
67.8,66.20503
67.9,63.08059
70.9,69.162186
70.8,70.009766
70.7,67.44611
70.0,63.73657
70.7,62.26186
70.3,58.526024
70.2,52.48453
71.5,51.571087
70.0,47.464764
68.8,51.69552
70.5,56.319965
69.5,56.828564
69.8,59.612003
69.5,65.39005
70.9,63.473644
71.5,71.78179
71.3,72.00236
70.4,72.28018
71.5,72.882805
72.8,75.593254
72.4,74.51639
72.4,74.45073
72.6,74.90872
71.7,75.00153
72.3,75.05083
72.6,74.7984
73.0,74.56326
73.1,75.57335
72.6,75.56889
72.5,75.50552
72.0,75.63988
72.6,75.724754
72.4,74.799355
73.1,76.27999
73.4,75.98877
73.2,75.9313
73.2,76.60083
73.6,76.81777
72.1,76.50959
74.5,77.41765
73.1,76.066635
72.1,75.95261
73.5,75.44187
74.3,76.88841
74.1,76.548355
74.0,76.31553
73.3,75.84176
72.8,75.9363
75.1,77.71794
73.1,77.01808
73.9,77.17789
72.8,75.82004
73.6,76.30906
73.2,76.332016
73.0,75.40945
72.1,75.729576
73.7,77.07596
73.6,76.53599
73.7,77.29864
74.7,77.259514
73.7,76.63979
73.2,77.125725
73.6,77.102295
73.9,76.801735
73.7,76.43088
72.9,76.29375
72.4,76.02305
72.7,76.47558
73.3,76.590775
72.7,76.00313
73.7,77.38242
74.7,77.33684
72.0,76.0188
72.7,76.14815
74.9,77.92148
73.4,76.62515
73.8,77.029816
73.1,76.43577
73.0,76.14883
73.6,76.456726
72.7,75.58182
74.6,76.42494
73.0,75.78521
72.9,75.088066
71.6,75.517395
72.4,76.2597
