real,pre
49,55.98808632566209
49,55.98808632566209
56,55.98808632566209
50,55.98808632566209
33,55.98808632566209
40,44.29134558309554
43,50.579162794109436
42,50.579162794109436
37,43.22425076667068
41,44.3309473038188
36,41.925019311579746
25,32.34706935042801
29,32.34706935042801
37,38.02619254498584
30,37.870723997107724
12,21.809624349991374
21,22.63177530937911
26,29.20172445597538
24,28.940468809970465
30,30.082839728547228
23,29.81572959197959
26,29.81572959197959
27,31.16752012111987
22,27.528740590458018
24,27.558667177737902
26,27.558667177737902
21,22.5187068628575
12,20.25920542867639
30,34.351896277345546
29,29.482685489556825
15,21.995782872061202
21,22.26986792603643
23,23.317075354806708
22,25.962299609175155
22,25.61368827446256
23,26.60928058051196
23,26.60928058051196
23,27.620952020876615
25,28.549356031659144
23,27.793852750757907
21,27.958924710731257
33,34.369073812369045
41,44.75870012030006
38,40.951962841003265
35,42.65756558968505
37,42.27689933237447
33,42.27689933237447
55,53.71049562236229
55,78.07479169968323
65,63.80500075325898
47,57.46185749283678
51,59.003303209943006
85,88.50607533254505
72,88.50607533254505
101,107.73230882345342
78,101.06442009134983
123,136.69772923656447
125,135.3567066677399
86,102.60855307055313
113,130.85883272119182
109,130.85883272119182
131,137.1408267072184
124,133.98056804001178
133,146.90299800614346
182,204.68055272686647
211,238.93172348908226
209,225.00464652594593
260,311.8988740402661
320,332.48058210133263
326,367.18566037867026
347,382.54288115295685
305,344.76726034318176
353,355.5138131997917
305,355.9068077872479
342,375.3800376929227
393,426.83093477534084
392,427.7452620703619
363,429.51995813671107
493,507.6839125019795
528,554.521518148395
553,594.3058010199306
590,597.9186807033063
558,589.5877228344636
565,592.0010370245133
531,592.0010370245133
446,513.5999511562202
515,569.634706484856
559,578.9765201381676
533,585.8351754794033
572,596.6464199838662
593,662.875837357319
632,677.3634443091199
600,671.9371831125762
612,683.0159327553761
615,684.8274478479104
565,624.6902144043776
562,614.1581060476791
606,638.0323581244876
602,647.1928346888345
587,664.5117932854452
597,643.8752794005285
602,678.2158908511785
604,695.271500584864
668,690.6163361809811
626,661.3009136784076
586,676.3190254792524
621,675.9674326057221
529,614.8382170964062
554,599.4566903975922
536,594.104467537582
556,587.7295371516464
530,583.3835404361348
476,549.7848918578966
469,528.9479289384068
463,527.0052218043522
475,560.6016068996452
482,559.1448710504121
505,563.001994662738
440,527.2507087481805
476,538.0145406410721
416,480.14976417273823
375,429.52039856229663
394,443.69180431925406
419,468.05740181777026
390,453.818867023893
394,456.9411411970183
417,467.46853700165013
389,445.2734311827011
389,451.9814289367778
395,452.39169968692323
405,453.2832426747175
355,428.2343036837084
379,427.96359549694705
389,450.9266144904533
352,420.267575852214
388,439.7472413572679
330,413.59210723201124
335,414.28337904450433
312,406.4609255451482
392,445.7852258645066
427,498.83776269576975
434,518.5398006435208
483,522.4458593674261
500,539.6490200841184
419,498.80424084848073
401,478.5955562700597
378,459.5727774666474
418,467.48692834575934
406,467.48692834575934
373,446.0187135796281
396,468.12253639514995
395,491.51597422255253
428,478.95491381423113
393,478.95491381423113
423,481.6972981941786
381,462.18765552951567
366,423.7339992115741
391,474.2949495707835
420,473.5181700967759
402,480.26940046417053
431,505.71332711520637
409,490.7312433896039
416,479.074095831544
384,464.5667060147308
399,474.1197767659875
393,458.3356884704625
422,502.3024337224674
425,502.06392929886437
369,453.6322499138762
418,489.1585045633475
431,489.1585045633475
370,467.85332101153926
444,500.34493101910493
394,453.25292966615876
372,447.027858027302
446,509.52029245477394
457,538.510818015721
478,551.6836450487189
421,516.4762019636484
458,520.3435973086233
419,510.5172419741825
452,529.4316909027864
470,552.2109496012216
541,600.1930212830976
494,600.1619032638562
446,562.0884761846114
462,539.9033940430529
489,583.3796643476953
494,584.482368717646
489,556.8196251247557
486,552.890985223433
485,572.6081047030323
447,557.2442401119479
467,586.9589473372997
566,634.3350353548147
548,632.6790539202347
555,631.4446936588122
534,609.6141230155662
544,582.2874499478601
573,566.6768768643258
573,600.79497028285
582,600.9628938016535
523,622.9891805296301
533,627.2120484934322
537,611.0267571494595
557,577.0842122587402
589,609.1183420093876
536,621.7526145344697
550,595.5548792296019
562,571.8837616701768
471,560.6520631348088
510,543.5744294849161
484,534.8674468210908
483,526.2141739223763
490,521.1962728605431
415,490.3324678505144
440,507.7644203807341
461,527.5706704536316
419,504.48825390664626
365,474.98301183244075
462,537.7725559279411
427,486.0977977454945
429,457.71519819434116
392,462.51644779374533
433,486.2576083140106
382,425.57751724091264
385,383.98126608798543
305,369.04906572834795
318,400.3289760429698
315,358.8266632608745
322,358.68436754598
322,361.08985739817797
319,374.49436880684226
292,323.20955049644806
251,288.55393599382376
267,313.63161816029543
261,313.9360746288583
214,256.61156008771195
251,283.5612389659475
218,248.1641423926556
223,233.90402671670094
238,274.8630582856473
244,272.3871004781165
223,273.74791431170246
235,275.3937502640543
228,264.26410853488034
208,239.43199111058289
208,234.6268426072688
211,238.10767297444218
196,239.25686787889265
218,245.76197605363157
207,241.89373520855523
187,209.4839049165852
199,225.9628774142375
192,219.3315293243743
181,265.69868910417887
236,284.8088160781351
231,259.533818028677
197,234.03114088330668
164,189.04227272703807
169,189.6541249181347
145,177.5917010092916
162,181.647371013102
160,181.21193645315307
166,173.51149681086807
151,184.79987763359563
175,199.0527354269085
166,185.33875441800885
167,220.65466580258848
146,160.67521496391052
135,151.9337678075697
117,141.84485124702925
129,148.64388555861544
115,131.24133574563768
103,121.40098400669439
97,126.08602834187296
90,99.7984516537489
84,99.7984516537489
97,110.37061147010415
92,103.27268672954757
80,99.00727491615554
62,75.29453756433549
79,81.75456734932035
73,74.74131051610715
77,74.74131051610715
65,74.74131051610715
52,74.74131051610715
53,74.74131051610715
