real,pre
49,61.065
49,57.985
56,56.725
50,54.925
33,49.73
40,43.325
43,50.965
42,48.96
37,41.935
41,46.405
36,40.085
25,30.445
29,29.515
37,39.365
30,37.885
12,20.715
21,23.385
26,31.13
24,28.17
30,31.215
23,28.51
26,29.145
27,32.53
22,27.425
24,28.06
26,27.91
21,23.24
12,15.94
30,35.445
29,31.69
15,18.79
21,22.19
23,23.22
22,27.765
22,25.28
23,27.695
23,26.52
23,26.445
25,30.2
23,26.08
21,26.11
33,35.085
41,47.39
38,41.27
35,41.235
37,41.95
33,39.555
55,59.92
55,73.775
65,66.93
47,54.0
51,57.295
85,89.315
72,91.625
101,105.845
78,97.415
123,138.605
125,133.975
86,105.765
113,130.235
109,131.6
131,139.375
124,136.085
133,145.965
182,208.9
211,233.54
209,230.215
260,303.09
320,339.235
326,362.85
347,383.58
305,344.95
353,357.2
305,357.985
342,380.86
393,432.515
392,429.95
363,432.14
493,507.825
528,588.675
553,591.96
590,599.465
558,587.5
565,594.245
531,594.07
446,516.82
515,564.835
559,584.5
533,585.315
572,616.845
593,654.04
632,675.94
600,661.64
612,678.01
615,693.28
565,625.385
562,614.315
606,644.33
602,644.925
587,665.975
597,645.25
602,672.07
604,695.215
668,692.105
626,665.57
586,668.07
621,674.465
529,616.54
554,606.84
536,596.75
556,595.995
530,581.19
476,557.995
469,533.365
463,526.565
475,555.555
482,554.955
505,574.805
440,529.96
476,530.55
416,478.485
375,426.42
394,453.13
419,483.495
390,452.125
394,457.605
417,468.745
389,440.395
389,450.54
395,451.495
405,452.6
355,430.26
379,428.62
389,450.15
352,412.32
388,438.425
330,408.895
335,414.67
312,408.92
392,449.635
427,493.13
434,519.085
483,523.855
500,538.755
419,494.51
401,475.34
378,458.47
418,470.19
406,468.235
373,446.53
396,468.51
395,490.82
428,481.99
393,477.265
423,479.875
381,461.655
366,425.305
391,477.34
420,468.405
402,476.585
431,500.07
409,486.57
416,479.62
384,468.135
399,475.655
393,459.685
422,496.98
425,498.995
369,447.085
418,492.855
431,498.68
370,464.085
444,504.585
394,455.065
372,448.94
446,510.49
457,528.63
478,555.715
421,487.495
458,516.905
419,509.825
452,527.99
470,556.83
541,588.585
494,594.09
446,569.68
462,544.55
489,576.655
494,583.325
489,562.325
486,552.71
485,570.665
447,557.03
467,575.155
566,633.66
548,633.06
555,629.755
534,603.24
544,591.4
573,571.435
573,600.725
582,610.47
523,615.815
533,622.525
537,608.19
557,584.215
589,611.595
536,623.17
550,601.82
562,576.61
471,569.335
510,548.33
484,542.11
483,528.73
490,520.875
415,494.78
440,501.69
461,520.645
419,496.645
365,470.295
462,533.43
427,476.105
429,463.325
392,464.115
433,486.24
382,418.115
385,416.835
305,368.66
318,394.42
315,361.575
322,357.12
322,364.375
319,359.99
292,329.73
251,290.81
267,309.705
261,301.11
214,258.47
251,278.34
218,249.85
223,239.01
238,271.06
244,271.185
223,271.765
235,275.7
228,267.05
208,238.68
208,234.13
211,236.47
196,238.335
218,242.07
207,241.59
187,211.63
199,226.97
192,218.68
181,249.89
236,279.815
231,258.33
197,227.625
164,194.365
169,187.765
145,177.74
162,184.005
160,181.86
166,171.775
151,182.2
175,196.355
166,186.875
167,212.61
146,159.195
135,152.65
117,137.5
129,143.82
115,138.405
103,116.4
97,119.97
90,105.325
84,99.635
97,110.985
92,103.395
80,96.695
62,72.375
79,81.825
73,86.21
77,85.67
65,74.5
52,64.605
53,60.915
