real,pre
49,108.56831304877187
49,100.82017400721134
56,93.11697425095645
50,85.49161099535695
33,77.97597323563241
40,70.60090067585224
43,63.396144830127014
42,56.39033236084879
37,49.61093070161269
41,43.084216020677104
36,36.835243598715806
25,30.887820641779854
29,25.26448157731602
37,19.98646588480915
30,15.073698477897324
12,10.544772668067253
21,6.416935729616398
26,2.7060770945554395
24,-0.5732808236457458
30,-3.4079891651158505
23,-5.786276526685924
26,-7.697750217000703
27,-9.133394890727232
22,-10.085568579771007
24,-10.547996115049955
26,-10.515759990400966
21,-9.98528870425298
12,-8.954342572932092
30,-7.421997107394418
29,-5.3886239703861065
15,-2.8558695588535556
21,0.17336871514316954
23,3.6949683905372694
22,7.703610117788685
22,12.192807923082
23,17.15494153825921
23,22.581290675328546
23,28.462071203280175
25,34.78647312240173
23,41.542700255745785
21,48.71801156160109
33,56.29876397343696
41,64.27045668365326
38,72.61777673120469
35,81.32464585396247
37,90.37426843563799
33,99.74918048388463
55,109.43129950771345
55,119.4019751974979
65,129.6420407924743
47,140.131865004259
51,150.8514044174367
85,161.7802562235188
72,172.89771117884447
101,184.1828066833691
78,195.61437985967905
123,207.17112049246816
125,218.83162377515373
86,230.5744426788774
113,242.37813987650998
109,254.22133911364608
131,266.0827758794726
124,277.94134731473196
133,289.7761612234167
182,301.56658410243153
211,313.2922880618876
209,324.93329658472203
260,336.4700289774105
320,347.88334347410773
326,359.15457885883234
347,370.26559455642064
305,381.1988090839254
353,391.9372368258869
305,402.4645230106594
342,412.76497685918866
393,422.8236028277929
392,432.6261298823397
363,442.15903876483435
493,451.40958718264346
528,460.36583289051714
553,469.0166546308942
590,477.35177087222337
558,485.36175634551773
565,493.03805634120226
531,500.3729987475858
446,507.3598038221976
515,513.9925916795005
559,520.266387507229
533,526.1771244958641
572,531.7216445062572
593,536.8976964751878
632,541.7039325883584
600,546.1399022307801
612,550.2060437601453
615,553.9036741238747
565,557.2349763663792
562,560.2029850593049
606,562.8115697208054
602,565.0654162625128
587,566.9700065221318
597,568.5315959560307
602,569.7571895360475
604,570.6545159459752
668,571.2320001332341
626,571.4987342846675
586,571.4644473577814
621,571.1394731656587
529,570.5347171931685
554,569.6616221731788
536,568.5321325304399
556,567.1586578074152
530,565.5540351402092
476,563.7314909084621
469,561.7046016356712
463,559.4872542657927
475,557.0936059000619
482,554.5380431158142
505,551.8351409383017
440,548.9996216362983
476,546.046313355017
416,542.9901087778985
375,539.8459238638738
394,536.6286567983357
419,533.3531472314121
390,530.0341359491381
394,526.6862250127729
417,523.3238385387835
389,519.9611841529718
389,516.612215267573
395,513.2905942228413
405,510.0096564298533
355,506.7823755627928
379,503.6213299206597
389,500.53867001137996
352,497.5460874455116
388,494.6547852235367
330,491.87544947379365
335,489.2182227200815
312,486.6926787164143
392,484.3077989573999
427,482.0719508540046
434,479.9928676901095
483,478.0776303367843
500,476.3326508439045
419,474.7636578523802
401,473.37568396117285
378,472.1730549681147
418,471.15938110924844
406,470.33755022120977
373,469.70972291404405
396,469.277329695617
395,469.04107010436064
428,469.0009138077535
393,469.15610367359704
423,469.5051607990413
381,470.0458914840733
366,470.7753961009753
391,471.69007987717714
420,472.78566550230835
402,474.05720756517485
431,475.49910876037984
409,477.10513782465796
416,478.86844914037147
384,480.78160396445537
399,482.8365932008842
