real,pre
49,59.002556
49,56.05101
56,59.936485
50,53.257965
33,52.698902
40,41.55613
43,52.303352
42,53.43256
37,40.495686
41,46.21116
36,37.662266
25,29.611912
29,29.981232
37,40.81955
30,38.67286
12,23.469166
21,26.168127
26,29.601694
24,29.428873
30,34.02333
23,30.971058
26,30.250072
27,31.29087
22,27.2137
24,28.06733
26,28.36457
21,25.213432
12,20.046597
30,34.394737
29,31.461363
15,20.826723
21,22.565626
23,26.734148
22,27.674465
22,28.062187
23,27.939606
23,27.939606
23,30.95739
25,31.862556
23,29.245453
21,29.318203
33,37.925934
41,47.09379
38,42.10476
35,44.35398
37,42.28334
33,42.59155
55,66.05226
55,72.72154
65,73.577896
47,52.207577
51,64.335175
85,89.61429
72,93.85311
101,105.1779
78,104.02697
123,140.45079
125,132.40936
86,107.49834
113,134.1968
109,138.19637
131,147.06189
124,138.32608
133,157.9181
182,215.8216
211,241.73639
209,242.6824
260,308.81104
320,349.5346
326,371.8414
347,395.75296
305,350.95352
353,358.97565
305,367.00528
342,393.6405
393,447.22382
392,439.94226
363,440.7064
493,519.02875
528,600.6499
553,616.66046
590,628.77155
558,633.86285
565,599.2262
531,611.16364
446,514.14685
515,576.43555
559,605.0613
533,617.41864
572,629.4433
593,673.1422
632,688.7
600,684.4621
612,688.89026
615,690.4587
565,631.40906
562,621.7692
606,655.77747
602,644.4533
587,679.47925
597,643.73553
602,669.6244
604,694.1526
668,699.61865
626,677.0751
586,641.0727
621,679.29724
529,616.7114
554,632.8959
536,597.99475
556,620.24316
530,580.7395
476,562.91876
469,534.8711
463,533.2403
475,553.83606
482,557.2523
505,573.6422
440,532.89685
476,515.8158
416,470.9243
375,413.52908
394,460.58157
419,481.2406
390,451.79993
394,456.72388
417,468.52274
389,435.59103
389,462.5529
395,450.03815
405,449.5114
355,443.17795
379,432.2808
389,458.077
352,423.31656
388,437.92328
330,395.35065
335,400.76852
312,399.23785
392,457.51752
427,494.14188
434,526.4108
483,534.7671
500,545.3237
419,482.08902
401,461.51373
378,458.77698
418,464.0967
406,466.15366
373,444.07718
396,466.4259
395,485.15167
428,471.94733
393,452.79727
423,475.19583
381,448.76047
366,414.96793
391,485.73947
420,480.42337
402,465.37802
431,488.61093
409,490.41547
416,466.22888
384,453.47723
399,480.47958
393,456.67593
422,487.75497
425,494.02292
369,427.755
418,501.02707
431,516.9236
370,462.25266
444,507.07202
394,447.63812
372,446.40875
446,505.72998
457,518.89294
478,530.12756
421,478.78247
458,497.8848
419,502.78265
452,513.53815
470,545.4509
541,583.5633
494,575.0812
446,533.1092
462,522.4453
489,578.83826
494,560.80396
489,556.18884
486,546.709
485,567.9702
447,541.18195
467,562.04407
566,631.5509
548,630.0067
555,632.1322
534,592.90173
544,602.44415
573,565.4646
573,608.42737
582,621.73083
523,586.64966
533,628.5967
537,614.06195
557,608.7427
589,640.1129
536,626.0713
550,613.24475
562,581.5906
471,585.45294
510,560.3364
484,516.7824
483,541.41064
490,519.04645
415,504.20282
440,478.93576
461,517.8213
419,473.55762
365,476.02655
462,537.29724
427,464.71457
429,456.8062
392,461.04968
433,483.35568
382,420.99063
385,424.86377
305,359.4103
318,387.03732
315,354.39566
322,354.9776
322,368.92435
319,353.87906
292,320.56317
251,282.12238
267,305.74475
261,288.58295
214,256.0273
251,278.4656
218,249.24785
223,251.44759
238,268.64597
244,259.22922
223,268.01212
235,264.39734
228,262.1513
208,235.16553
208,227.11769
211,238.96408
196,233.931
218,227.2042
207,238.51944
187,202.47914
199,233.4262
192,218.04323
181,235.29768
236,280.0425
231,255.54457
197,212.48882
164,195.43602
169,187.99162
145,181.8747
162,185.6998
160,184.51895
166,170.21901
151,182.74278
175,196.22116
166,194.05551
167,207.5071
146,156.63231
135,152.09521
117,132.27492
129,143.58748
115,135.91797
103,116.57005
97,124.4923
90,93.19244
84,95.527565
97,110.11793
92,103.54513
80,91.81708
62,67.60293
79,84.18015
73,88.595276
77,87.47487
65,73.85272
52,67.09452
53,59.63376
