real,pre
72.1,73.63324841452727
70.9,73.63324841452727
71.6,73.63324841452727
73.3,73.63324841452727
74.9,73.63324841452727
70.8,71.17838302799488
72.2,69.71123732133599
72.2,72.47188948961387
71.7,72.5067912161284
71.3,73.15911666966961
73.1,73.45472797905116
72.5,72.46195453271802
71.5,71.48947459102693
73.9,73.18857058131536
73.9,70.8723365159886
73.4,71.44565330774083
72.3,72.27105233018511
70.8,69.34799738587549
68.4,69.3498519868267
70.5,71.27821334740358
68.5,68.48993528627895
69.6,69.8168123853877
68.8,70.67854307624062
63.8,66.30042766168644
66.3,65.38564502872829
65.2,65.95236624189957
65.6,66.41383494080706
62.1,64.62933984868812
60.6,63.568807190998385
63.7,65.61674786326752
60.8,62.89572617132201
62.2,65.18722720896135
64.5,65.33858351796478
66.2,65.08880819098155
62.6,65.86412329496326
61.9,65.9078195861201
66.1,65.78291928994548
65.0,65.65269111363902
64.0,64.72220349037372
61.2,64.84332641561419
65.3,64.95713354899989
66.4,65.920223862276
65.3,65.93711133155789
68.0,67.28092756786042
64.3,65.70688127591752
65.4,65.76191970239039
66.3,66.92437650326012
66.9,67.53629452685841
65.5,66.92534425516045
65.5,66.92534425516045
66.7,67.09904991195752
67.6,69.32655234727685
65.9,68.16189628020204
68.4,68.79189265440058
67.0,68.17901129909508
67.1,67.77006492252039
67.9,67.64744483196284
66.5,67.64392352228089
69.5,68.61126386560389
69.0,68.51724625957411
69.5,70.03431840691205
69.5,70.03431840691205
69.3,69.02417153058238
70.7,70.73746612001219
69.5,69.50954414500052
69.8,69.8620233500583
67.5,68.67486881029268
68.6,69.1724960210231
68.1,68.46566177790866
68.8,68.43697605323945
67.8,68.53576838931822
69.6,69.41687320152026
68.1,68.79249028349517
69.6,69.16982493128788
68.8,69.15832270393265
65.6,67.15348743408073
67.9,68.45128552229714
68.5,67.9341779220897
63.3,61.9087360995635
59.9,57.32149058534909
60.6,56.690643877067004
58.8,50.539661292390214
46.2,49.75096452669768
49.8,50.45077278027203
62.5,61.38537742444186
65.5,63.8616995853097
60.7,62.84954015262709
63.1,63.44515925629945
62.1,63.17338770834935
60.1,54.069419755207775
57.5,53.44527832678213
61.8,54.86502801059841
63.7,57.32288609533795
63.5,62.31340542708452
64.5,63.81647813677675
63.7,64.04952451779667
64.6,62.887557956418426
65.2,63.66132954948687
66.7,62.858549034891674
66.3,62.69007010253032
66.5,62.72095200826277
62.0,56.13441963333998
65.8,58.18020894859498
60.9,56.86153077304223
52.9,56.56524778903253
64.4,63.13218433699217
65.8,64.82502263644297
68.7,67.74838459424804
67.5,67.76103672092962
67.8,67.4723728671504
68.3,67.27129101355196
69.6,67.3366131821863
70.6,69.02674939954807
69.8,68.79610385088004
71.3,69.91643313060078
71.1,69.73501398346633
70.9,68.7146519800939
70.2,68.46682536467567
72.9,70.55641888442696
72.1,70.78001273593055
72.2,71.3267538956782
72.6,71.46737596979791
72.1,70.43984448964903
73.0,71.4803769515733
74.1,72.55291419464136
72.0,71.35833773976422
72.4,71.21401964254112
73.9,71.43254920742825
72.3,70.70750908048696
73.2,71.44093326657682
72.1,71.17076262843658
71.7,70.60677798153756
69.7,69.1587544950033
69.8,68.7897801398238
72.4,70.20591475511772
71.9,69.41065375849483
72.5,69.41015680377616
71.4,69.46401652006753
71.5,69.0803155497772
67.6,64.590343507274
68.2,64.91466901690704
67.7,62.75295778408295
57.2,56.39706908625031
50.9,56.39706908625031
65.2,58.03009338005879
66.6,64.69975742961097
65.4,64.81420936892903
67.4,65.07562484586163
66.8,65.01515475077707
65.1,63.476258990124606
63.4,60.909650005684554
64.5,60.842044618766195
65.5,63.85430276027894
64.5,63.49378495788724
66.5,64.97416271618239
68.6,66.96049129997692
69.5,68.13910453424405
67.5,66.96285358880914
68.6,67.06144953083997
68.1,66.63277689087501
66.7,65.52489878682857
67.7,65.66405306025716
67.6,66.17839717221031
69.8,66.5805604770841
68.8,65.79132643218553
67.4,65.72230952591585
67.3,66.07953784533836
68.3,65.12605386806491
67.6,65.31640556842227
65.7,64.50627617721061
64.4,62.545040581852064
66.3,61.69033892586526
65.0,61.75407856876298
68.5,66.20144595307599
68.8,66.31932143806699
64.8,63.8060518664009
65.6,63.65467385479655
64.7,63.074442994280325
67.4,63.99987629090948
63.2,61.883216377505455
64.2,61.883216377505455
64.3,62.80001078612494
61.0,60.79459917894608
63.4,61.81811334669722
67.0,61.96895751579305
69.3,67.65155047115957
69.6,67.70122885247675
67.4,65.53875981400749
69.3,66.63079809793894
68.2,67.14751256824752
68.8,62.685806454532774
69.9,67.59016048663847
71.6,70.15557446337537
70.6,68.7873339682555
67.6,65.54867536043145
69.2,65.71129763025965
67.3,64.71959901777555
68.3,64.607486523914
66.7,64.46919942530123
60.9,61.051360962919794
61.3,61.778160627855996
60.4,52.06071336897786
67.0,56.36284451004239
64.7,58.063372987273226
61.9,57.98083385383826
61.7,48.495481146581355
59.5,48.5350101036917
47.7,44.52018867142423
44.3,39.80521808882042
42.5,34.89938950778537
32.4,32.99119240502453
35.5,32.89890118537095
45.8,36.50593614011607
46.3,36.48650278846706
54.5,38.194109768882804
64.5,48.258846777394076
63.9,48.55544052735794
69.0,65.07843926959039
67.4,67.65742819560592
68.8,66.96565922465186
69.7,67.36211558686564
72.4,71.14217685852061
70.5,70.28887918223926
71.4,69.93334489738515
71.7,69.94491524761723
71.7,71.16653930561631
71.4,71.16653930561631
72.0,70.08797244943746
71.4,69.39110042190377
72.1,71.51670188236282
71.9,71.56228769209088
72.2,71.27735444006197
72.2,71.82650723325763
72.2,71.60022917591844
71.3,71.30477881170245
73.1,72.16813748571184
72.4,71.78973618052214
72.4,71.78973618052214
72.9,72.93354788864205
72.8,72.93354788864205
73.0,72.52687050389761
73.9,73.49555935278572
72.5,71.91235616574522
72.5,71.70660993368854
71.9,71.76094074841527
73.3,72.83761759932571
73.0,72.7804280493013
72.4,72.60710541934232
72.3,71.75671734889103
72.5,71.66839599637737
74.0,74.11636300098105
73.5,73.4677170005275
74.1,73.01516214185489
72.9,72.18531899017856
72.8,72.30688100329787
73.5,72.21054960750611
71.9,71.84418793475488
72.0,71.84418793475488
73.2,73.05893594910962
72.9,72.88962384758226
73.6,73.14537593714176
74.3,73.16949016964078
73.2,72.98846757532172
73.7,73.27335229757738
73.5,73.45189568934082
73.6,72.85094281648954
72.5,72.7598432197472
72.7,72.67647704671596
72.0,72.4656999401429
73.0,72.77922496543674
72.5,72.8464971479038
72.6,72.70030573119597
73.3,73.52212995267455
73.7,73.37752750706683
72.6,72.46927809988766
72.3,72.77131602679394
74.1,73.65916678420733
72.6,73.05961770956259
72.8,73.1897491241612
