real,pre
72.1,72.26400000000012
70.9,71.91099999999993
71.6,73.20249999999997
73.3,73.30450000000017
74.9,73.37300000000023
70.8,72.42450000000022
72.2,71.09100000000007
72.2,71.97449999999985
71.7,72.52950000000011
71.3,73.05650000000023
73.1,73.33900000000023
72.5,72.5135000000002
71.5,71.96350000000008
73.9,72.88050000000015
73.9,71.45850000000004
73.4,71.42749999999981
72.3,72.17549999999977
70.8,69.94399999999979
68.4,69.48949999999978
70.5,71.10199999999982
68.5,68.94550000000012
69.6,69.6230000000002
68.8,69.9789999999999
63.8,67.08149999999982
66.3,65.4309999999998
65.2,66.11599999999976
65.6,66.1949999999998
62.1,65.1999999999998
60.6,64.04349999999984
63.7,64.814
60.8,63.73149999999987
62.2,64.40949999999984
64.5,65.3150000000001
66.2,64.9905000000002
62.6,65.76050000000019
61.9,66.0320000000002
66.1,65.51050000000018
65.0,65.72750000000018
64.0,64.83099999999988
61.2,64.89349999999992
65.3,65.30099999999985
66.4,65.75749999999981
65.3,65.81749999999981
68.0,67.93399999999994
64.3,66.26899999999988
65.4,65.80550000000011
66.3,66.89149999999994
66.9,67.46900000000014
65.5,66.9545000000002
65.5,66.79300000000019
66.7,67.15400000000005
67.6,68.88449999999987
65.9,68.34149999999991
68.4,68.79549999999988
67.0,68.3640000000001
67.1,67.89599999999997
67.9,67.57649999999994
66.5,67.51149999999984
69.5,68.36949999999977
69.0,68.65799999999982
69.5,69.70700000000012
69.5,69.98250000000016
69.3,69.2819999999999
70.7,70.2729999999998
69.5,69.78299999999979
69.8,69.68749999999994
67.5,69.00350000000002
68.6,68.9105000000001
68.1,68.57149999999992
68.8,68.49749999999993
67.8,68.61950000000003
69.6,69.17300000000016
68.1,68.83450000000016
69.6,69.08499999999995
68.8,68.9740000000001
65.6,67.68599999999992
67.9,67.87349999999994
68.5,67.5945
63.3,64.6595
59.9,59.086000000000006
60.6,58.41500000000007
58.8,52.369500000000045
46.2,48.77499999999992
49.8,50.139500000000105
62.5,58.37850000000017
65.5,63.624499999999955
60.7,63.08550000000007
63.1,63.220500000000044
62.1,62.05399999999998
60.1,53.86549999999988
57.5,51.51099999999996
61.8,54.05799999999986
63.7,57.0909999999999
63.5,61.15400000000007
64.5,63.259000000000036
63.7,63.83600000000013
64.6,62.9449999999999
65.2,63.60299999999983
66.7,60.67300000000006
66.3,61.94300000000001
66.5,62.10149999999985
62.0,57.6449999999998
65.8,61.228999999999814
60.9,57.52699999999982
52.9,51.91499999999996
64.4,59.65950000000009
65.8,64.05900000000014
68.7,66.70299999999992
67.5,67.78750000000008
67.8,67.64650000000003
68.3,67.33949999999984
69.6,67.21649999999983
70.6,68.78850000000014
69.8,68.70850000000021
71.3,70.29050000000022
71.1,69.74100000000018
70.9,68.2674999999999
70.2,64.50199999999984
72.9,68.58699999999992
72.1,70.63199999999982
72.2,71.16449999999976
72.6,71.87249999999977
72.1,70.0950000000001
73.0,71.10349999999991
74.1,73.02650000000007
72.0,72.13599999999992
72.4,71.0700000000001
73.9,71.40799999999984
72.3,70.85599999999977
73.2,71.30199999999978
72.1,70.9685000000001
71.7,70.83400000000003
69.7,69.71399999999988
69.8,68.89549999999984
72.4,69.93800000000009
71.9,69.7354999999999
72.5,69.4149999999998
71.4,69.30299999999983
71.5,68.70400000000012
67.6,65.63150000000005
68.2,65.29599999999984
67.7,63.30149999999981
57.2,58.1905
50.9,56.58999999999988
65.2,58.05849999999994
66.6,63.43299999999989
65.4,64.75650000000009
67.4,65.1609999999999
66.8,64.90999999999997
65.1,63.5225
63.4,60.849000000000025
64.5,60.889500000000126
65.5,63.18350000000018
64.5,63.88449999999998
66.5,64.74699999999984
68.6,65.99399999999996
69.5,68.27950000000001
67.5,67.28300000000011
68.6,67.19849999999988
68.1,66.61399999999982
66.7,65.90150000000007
67.7,65.78949999999998
67.6,65.86550000000017
69.8,66.70450000000022
68.8,65.9970000000002
67.4,65.77200000000018
67.3,65.85150000000006
68.3,65.26100000000001
67.6,65.24549999999998
65.7,64.44699999999986
64.4,62.857000000000035
66.3,60.49999999999988
65.0,61.64799999999985
68.5,64.8325000000001
68.8,66.67150000000015
64.8,64.56149999999994
65.6,63.68150000000001
64.7,60.95049999999988
67.4,64.00849999999984
63.2,62.62000000000002
64.2,61.722500000000025
64.3,62.01749999999986
61.0,58.466999999999864
63.4,60.58749999999984
67.0,62.23699999999994
69.3,66.33899999999983
69.6,67.5469999999998
67.4,66.1570000000001
69.3,66.25949999999995
68.2,66.96000000000016
68.8,63.959500000000155
69.9,66.7094999999999
71.6,69.37049999999982
70.6,68.93549999999996
67.6,66.02700000000014
69.2,65.78200000000015
67.3,64.77149999999989
68.3,64.44349999999993
66.7,63.981000000000115
60.9,62.27600000000007
61.3,60.82150000000002
60.4,54.16000000000011
67.0,56.04099999999998
64.7,62.202499999999965
61.9,59.09600000000007
61.7,50.71600000000012
59.5,48.11950000000008
47.7,44.99600000000002
44.3,40.528999999999975
42.5,36.15599999999992
32.4,33.33799999999999
35.5,33.13550000000007
45.8,35.613000000000106
46.3,36.57000000000012
54.5,39.26300000000013
64.5,47.42750000000005
63.9,51.77150000000009
69.0,63.99199999999988
67.4,67.53300000000011
68.8,67.53950000000002
69.7,68.38999999999989
72.4,70.48150000000005
70.5,70.46999999999984
71.4,70.03249999999979
71.7,70.05049999999977
71.7,70.9754999999998
71.4,71.02350000000011
72.0,70.30900000000022
71.4,69.7250000000002
72.1,71.13000000000007
71.9,71.58600000000018
72.2,71.36150000000023
72.2,71.81950000000023
72.2,71.67700000000022
71.3,71.29050000000005
73.1,72.08900000000003
72.4,71.81900000000002
72.4,71.88500000000018
72.9,72.67700000000012
72.8,72.98400000000017
73.0,72.75750000000006
73.9,73.26100000000014
72.5,72.38999999999992
72.5,71.66099999999997
71.9,71.77900000000017
73.3,72.77400000000023
73.0,72.76100000000021
72.4,72.49500000000005
72.3,71.99049999999984
72.5,71.78099999999978
74.0,73.4769999999998
73.5,73.61850000000007
74.1,72.97849999999985
72.9,72.4994999999998
72.8,72.11899999999994
73.5,72.24749999999982
71.9,71.9504999999998
72.0,71.8975000000001
73.2,72.86399999999993
72.9,72.81350000000009
73.6,73.15599999999993
74.3,73.10650000000014
73.2,72.86850000000018
73.7,73.19999999999983
73.5,73.5974999999998
73.6,72.9310000000001
72.5,72.67600000000022
72.7,72.89100000000025
72.0,72.42600000000022
73.0,72.77450000000009
72.5,72.72250000000014
72.6,72.88899999999985
73.3,73.2319999999998
73.7,73.30799999999994
72.6,72.66499999999984
72.3,72.88499999999998
74.1,73.36650000000013
72.6,73.1044999999999
72.8,73.43749999999979
72.4,72.68399999999977
72.9,72.70949999999975
73.3,72.48349999999981
71.4,72.17800000000007
72.1,72.00249999999988
71.7,71.89199999999978
70.6,71.60799999999978
71.2,72.87699999999994
72.2,72.49599999999981
