real,pre
72.1,74.57424529897641
70.9,74.22283784148729
71.6,73.878757650715
73.3,73.54208531875878
74.9,73.21289619565799
70.8,72.89126032366369
72.2,72.57724237491132
72.2,72.27090159295624
71.7,71.97229173812528
71.3,71.68146103673718
73.1,71.39845213461808
72.5,71.12330205445457
71.5,70.85604215745263
73.9,70.59669810985471
73.9,70.3452898530274
73.4,70.10183157893931
72.3,69.8663317096532
70.8,69.63879288202567
68.4,69.41921193683635
70.5,69.20757991318624
68.5,69.0038820475426
69.6,68.8080977780873
68.8,68.62020075424537
63.8,68.44015885119259
66.3,68.26793418990383
65.2,68.10348316244321
65.6,67.94675646264851
62.1,67.79769912244029
60.6,67.65625055334992
63.7,67.52234459411338
60.8,67.39590956322743
62.2,67.27686831789384
64.5,67.16513831788099
66.2,67.06063169578783
62.6,66.96325533238334
61.9,66.87291093822984
66.1,66.7894951405947
65.0,66.71289957631998
64.0,66.64301099040985
61.2,66.57971134008469
65.3,66.52287790480753
66.4,66.47238340159504
65.3,66.42809610623388
68.0,66.38987997977671
64.3,66.35759480059619
65.4,66.33109630186915
66.3,66.31023631431421
66.9,66.29486291415907
65.5,66.28482057625482
65.5,66.27995033227502
66.7,66.28008993373251
67.6,66.28507401973279
65.9,66.29473428956817
68.4,66.30889967968095
67.0,66.32739654495165
67.1,66.35004884427926
67.9,66.37667833019927
66.5,66.4071047420974
69.5,66.44114600348591
69.0,66.47861842235525
69.5,66.51933689494459
69.5,66.56311511260813
69.3,66.60976577126394
70.7,66.65910078370274
69.5,66.71093149381593
69.8,66.76506889346162
67.5,66.82132384074647
68.6,66.87950727984995
68.1,66.93943046234992
68.8,67.00090516954461
67.8,67.0637439352473
69.6,67.12776026943351
68.1,67.19276888144238
69.6,67.2585859036529
68.8,67.32502911433514
65.6,67.39191815954844
67.9,67.45907477453213
68.5,67.52632300296587
63.3,67.59348941508651
59.9,67.6604033233365
60.6,67.7268969959496
58.8,67.79280586744419
46.2,67.85796874657528
49.8,67.92222802040696
62.5,67.98542985499934
65.5,68.04742439196056
60.7,68.1080659407323
63.1,68.16721316608145
62.1,68.22472927063902
60.1,68.28048217236116
57.5,68.33434467570544
61.8,68.38619463783077
63.7,68.43591512772531
