real,pre
72.1,70.50669
70.9,70.7102
71.6,71.3683
73.3,71.277466
74.9,70.5273
70.8,64.195724
72.2,64.724785
72.2,70.26744
71.7,69.880455
71.3,72.719666
73.1,72.41124
72.5,71.09769
71.5,70.02338
73.9,71.46509
73.9,69.04076
73.4,70.76269
72.3,70.10973
70.8,68.14932
68.4,67.3372
70.5,69.503555
68.5,66.531624
69.6,67.437935
68.8,69.48703
63.8,64.89502
66.3,63.88519
65.2,62.766155
65.6,64.579384
62.1,60.089813
60.6,60.179695
63.7,64.36148
60.8,59.216736
62.2,63.03423
64.5,62.33413
66.2,61.759216
62.6,61.758263
61.9,61.467804
66.1,62.955658
65.0,62.306843
64.0,61.820747
61.2,61.12292
65.3,60.999134
66.4,63.78053
65.3,64.796875
68.0,66.49937
64.3,63.70512
65.4,63.762753
66.3,63.241825
66.9,65.90566
65.5,65.07319
65.5,64.10086
66.7,65.01314
67.6,66.66617
65.9,66.02833
68.4,66.59032
67.0,66.06118
67.1,66.0655
67.9,66.14091
66.5,65.724174
69.5,66.94509
69.0,66.79926
69.5,67.77922
69.5,67.8178
69.3,67.33999
70.7,68.559715
69.5,67.95178
69.8,67.89982
67.5,66.68605
68.6,66.920944
68.1,66.56547
68.8,66.77862
67.8,67.003136
69.6,67.21581
68.1,67.22436
69.6,67.09951
68.8,66.76654
65.6,65.187645
67.9,67.051575
68.5,65.62487
63.3,62.551758
59.9,59.457157
60.6,58.638245
58.8,56.293182
46.2,54.55991
49.8,57.499607
62.5,60.995056
65.5,63.70962
60.7,61.725685
63.1,62.46732
62.1,62.03299
60.1,58.397808
57.5,56.88222
61.8,59.139122
63.7,60.281895
63.5,62.399975
64.5,62.84275
63.7,64.52978
64.6,62.94642
65.2,63.299843
66.7,62.730286
66.3,63.577194
66.5,63.642033
62.0,61.162067
65.8,64.169464
60.9,61.867275
52.9,59.810722
64.4,64.08792
65.8,64.90905
68.7,67.30442
67.5,66.79912
67.8,67.02532
68.3,67.1187
69.6,67.615974
70.6,68.56985
69.8,68.22248
71.3,68.733185
71.1,68.72871
70.9,66.93879
70.2,66.210625
72.9,69.518456
72.1,70.355446
72.2,70.06615
72.6,70.38474
72.1,69.6466
73.0,70.67677
74.1,70.83016
72.0,70.12068
72.4,70.66846
73.9,70.699135
72.3,69.53879
73.2,70.2466
72.1,70.00391
71.7,67.94554
69.7,65.98234
69.8,67.32433
72.4,68.78921
71.9,68.49788
72.5,68.77807
71.4,68.945274
71.5,68.62327
67.6,66.27831
68.2,65.49562
67.7,62.66098
57.2,59.06029
50.9,59.565582
65.2,61.381474
66.6,63.890205
65.4,64.572754
67.4,65.10578
66.8,64.89802
65.1,63.364742
63.4,61.453033
64.5,60.875244
65.5,62.202972
64.5,62.014305
66.5,64.0448
68.6,66.179504
69.5,66.52282
67.5,65.421814
68.6,65.226234
68.1,64.90237
66.7,64.45659
67.7,64.63471
67.6,65.45784
69.8,65.429634
68.8,64.893074
67.4,64.673706
67.3,64.74175
68.3,64.300896
67.6,64.556564
65.7,63.625523
64.4,62.631374
66.3,62.37102
65.0,62.567757
68.5,64.98426
68.8,64.705376
64.8,62.6718
65.6,63.016415
64.7,62.55078
67.4,64.04941
63.2,61.975895
64.2,61.71882
64.3,62.494385
61.0,60.614418
63.4,62.1898
67.0,63.59046
69.3,67.204506
69.6,67.18822
67.4,65.589714
69.3,66.6479
68.2,66.6784
68.8,65.048744
69.9,67.49774
71.6,68.69158
70.6,66.884735
67.6,65.75172
69.2,66.09799
67.3,65.3053
68.3,65.58047
66.7,64.222374
60.9,62.602257
61.3,63.138153
60.4,59.733162
67.0,64.386345
64.7,66.60521
61.9,64.495346
61.7,60.862423
59.5,58.965424
47.7,60.53813
44.3,57.163666
42.5,55.84498
32.4,54.300686
35.5,56.29014
45.8,56.548206
46.3,57.025425
54.5,58.305622
64.5,61.427895
63.9,61.143925
69.0,67.347786
67.4,67.3464
68.8,67.30395
69.7,67.79525
72.4,69.776695
70.5,69.38952
71.4,69.03385
71.7,69.41947
71.7,69.28277
71.4,69.55068
72.0,69.3004
71.4,69.3201
72.1,70.292404
71.9,70.072174
72.2,69.93412
72.2,69.60135
72.2,69.81475
71.3,69.640305
73.1,70.63933
72.4,70.49536
72.4,70.617455
72.9,71.17811
72.8,71.28223
73.0,70.326775
73.9,71.85835
72.5,70.60668
72.5,70.04578
71.9,70.12165
73.3,71.54587
73.0,71.428276
72.4,71.18053
72.3,70.424225
72.5,70.53345
74.0,72.42541
73.5,71.058784
74.1,71.63686
72.9,70.19413
72.8,70.72956
73.5,70.45358
71.9,69.92624
72.0,70.05626
73.2,71.19996
72.9,70.915634
73.6,71.4057
74.3,71.653694
73.2,71.311775
73.7,71.43718
73.5,71.75436
73.6,71.06618
72.5,71.05508
72.7,70.34457
72.0,70.31757
73.0,70.583496
72.5,71.387215
72.6,70.50073
73.3,71.90752
73.7,71.62983
72.6,70.015915
72.3,70.505745
74.1,72.29417
72.6,71.18963
72.8,71.70358
72.4,70.791
72.9,70.550285
73.3,70.98842
71.4,70.36774
72.1,71.56044
71.7,70.575874
70.6,69.96021
71.2,69.87923
72.2,70.481155
