real,pre
59,72.11153800562752
82,72.11153800562752
82,72.11153800562752
72,69.52970241012203
92,76.78663476538532
73,60.153083452391094
47,55.96437905698
54,54.834301664508544
63,52.50040204820124
70,59.429316670457595
52,49.41920345506288
43,44.1763622874446
51,44.535935485532775
44,39.143867124654456
40,42.006179170967464
48,43.457578784912656
41,42.91736360811875
62,45.39318178464341
48,42.73220274409397
38,39.04552075427248
64,43.04900276967602
37,31.615952501155018
41,32.16810065019587
32,31.506223063314003
43,33.59502255945224
49,35.61275066536287
34,27.9578245982023
37,27.707733927963737
29,27.46876248107028
30,24.437845372606287
47,23.084171760939306
38,25.1227882543459
32,24.613108279477952
46,31.579908735007134
46,33.22645624200862
42,35.999223944915336
38,33.19131776314265
46,39.040869667100004
30,29.94698655491895
46,32.21963836704728
51,35.1430132012677
44,33.946876381458054
44,44.34915513995966
50,43.966396339931954
59,54.68433292486599
61,54.68433292486599
47,54.5103530600194
52,55.608753788200374
64,53.55090152833834
55,52.838430160361455
58,62.396742978686206
68,71.24367099763748
56,71.0500207464917
101,90.44250041226046
92,91.15857940260267
162,137.33194025764382
130,133.68463250217616
137,140.880056883506
137,134.7477275775742
126,119.21106798172363
115,128.02271005837912
133,142.1556541421191
155,183.80537999873206
211,218.02551605790637
256,263.3651699310368
237,299.55656295435125
315,331.92214439580715
319,389.9345511462858
401,438.46692880944363
330,394.52881873391595
357,408.46709588292913
321,382.03367220777665
356,396.29861471155743
366,401.7799382623736
394,475.9518251495055
461,582.3294688287862
504,638.2049274043178
550,676.751270260683
514,655.4170273538639
547,678.9185373273158
548,678.4179377812967
530,641.6026540764387
517,629.117634112289
484,591.7705628222008
572,649.1201387262765
517,627.8144428016917
526,612.4254727939593
502,620.3652656808472
511,619.5226081514965
488,603.7653524481091
537,636.0381406569129
507,589.285486293623
490,584.988332081706
496,586.0567491090848
505,591.0181285068261
514,575.7683946125969
388,482.6246317921672
403,488.062686085923
399,483.1283666826534
488,563.5253383237845
458,571.5919836580316
479,578.6456190063192
476,574.1549835503406
491,564.9038716449209
478,561.6820280328822
478,557.39291169412
472,545.2884914308869
444,522.3020964380569
432,521.0339298271437
472,520.1933943721058
461,519.8239286954268
447,525.3447119615582
467,525.8325774209025
425,526.9853990544458
411,514.1049699650147
411,518.5063457237147
454,536.9971264665122
462,547.333616795413
447,542.4360844808222
400,497.4142056288268
450,501.1216264790588
411,479.43595581610117
435,481.10256613162596
377,464.12290226860074
417,475.6615096773568
435,487.1978664886248
449,511.695753369175
451,510.7329030751107
460,515.4438486658411
412,501.22920044211287
438,493.37272856184904
430,484.6960159345857
446,480.76433457131094
434,488.3411841485324
449,511.52253881715717
492,533.4686359278951
444,513.8878873751082
460,509.0158128332052
411,497.830456355091
438,498.0175199024076
438,480.2206411678299
366,457.38931849584804
296,401.17756293922935
327,402.81267739540124
339,404.62311659500585
334,410.7626507631127
406,465.79976482947285
444,498.7475258718681
426,498.7098502079213
456,504.1190511253773
460,526.9659685783499
471,526.1510026705379
447,520.5792640751231
462,525.4709912730065
435,505.17487804173606
444,498.9527791541576
415,496.5288435857809
444,504.08618213681956
439,511.62106461421627
460,536.0173970325285
449,523.1848696722828
481,528.084226125093
450,523.0889525599829
450,509.64019706372113
503,565.1428105613372
464,553.1942233984898
457,551.8905877463736
490,543.8278654072075
380,469.06181936535097
406,488.49065552816194
469,536.4671734396131
481,554.2507145761599
471,544.7196183442926
432,536.0055545473627
451,535.4143519748461
476,544.1336044496657
439,544.2440916374551
527,585.2301465804396
439,551.5388052933231
447,543.6170461121402
452,541.2941216627105
457,543.8417859919675
514,608.3335316392588
481,601.9450761415522
445,549.5059626479839
499,552.7735267107446
439,541.6642255731477
485,580.6821875149648
484,567.155619298705
442,562.8506007236907
465,556.6303686254653
404,516.4801980830435
394,524.8013188336263
497,548.8574984381055
444,541.1892438834632
460,537.1745238238639
375,454.0654315250462
394,458.025876920156
355,441.3926390051938
433,494.85349643476
492,563.419170684759
442,538.3988751868509
471,548.95228414433
357,532.7906771382435
452,552.6141539457191
484,562.0097378051889
438,540.2894886270509
461,548.2775232591882
419,530.1202152346111
451,544.7587132168733
451,528.5902199945091
371,477.5834915388945
401,484.9608377781919
434,489.77950776846046
416,498.0145408078239
468,556.337397026368
454,545.2132703654477
467,556.0049669934724
444,557.915470560888
468,553.9428093921434
442,541.4052012953242
481,574.3675929227425
444,556.0973400087693
444,542.5896784499406
454,542.5853294343153
435,481.56572192390456
370,452.1979728427456
406,466.0292694019635
408,435.0347356688649
352,419.6319431365977
403,433.7073722325334
370,422.0214561897845
385,406.7396926869949
360,390.0893650644911
331,360.9100593626277
366,376.6631402635193
366,380.65253710698704
355,365.0595739591658
352,374.4664082082148
334,340.40435557199226
301,336.16329539555613
292,312.46998378426525
319,347.6063137052159
312,347.8341899171622
289,321.0266656846226
312,328.2279397927989
304,326.04143621361527
296,315.9027330638469
370,369.6406259922173
277,294.11022984303213
282,295.19759186112566
300,292.0148499840923
313,311.7507806890558
295,320.25395959792456
285,322.10710815488176
285,314.371636799005
289,307.56717101268526
278,283.17477960403187
334,323.780912572242
298,297.9220151898494
263,281.582892468836
244,254.99648162330746
240,255.09096819858988
214,230.1603703382181
214,229.4400261493361
212,228.00750202254127
237,250.35180528417496
155,162.44159972127633
170,164.21457966009515
184,233.5698579400262
225,222.42250148098825
137,157.89000214942845
147,144.9021560319036
204,199.96677042181372
185,190.71274871046313
159,148.28255961671556
133,126.52850632196275
115,129.31986799843318
122,124.41746579092388
85,107.70713523068379
111,114.99772041509497
111,111.29679694398584
133,127.69129558324231
101,105.13885376963061
85,99.1151570496514
108,94.65399556142346
88,94.65399556142346
95,94.65399556142346
