real,pre
59,73.215
82,71.095
82,73.87
72,70.02
92,75.495
73,59.735
47,53.985
54,59.43
63,51.605
70,59.62
52,53.255
43,47.76
51,44.025
44,37.8
40,44.125
48,41.3
41,41.995
62,45.665
48,42.645
38,37.11
64,42.265
37,31.445
41,32.645
32,30.14
43,32.84
49,37.225
34,29.605
37,27.54
29,28.81
30,26.125
47,19.86
38,23.66
32,23.415
46,31.68
46,33.19
42,38.005
38,30.395
46,38.48
30,29.18
46,30.62
51,34.745
44,35.19
44,42.495
50,48.15
59,51.325
61,54.34
47,52.375
52,54.975
64,55.175
55,54.665
58,62.955
68,70.71
56,74.045
101,90.43
92,92.45
162,139.35
130,133.74
137,137.54
137,129.03
126,124.925
115,128.05
133,138.555
155,174.845
211,216.92
256,268.835
237,283.65
315,334.845
319,402.995
401,431.77
330,396.985
357,407.96
321,388.585
356,396.375
366,394.865
394,467.675
461,575.245
504,625.185
550,672.08
514,662.27
547,672.425
548,671.58
530,635.625
517,629.4
484,598.85
572,636.32
517,631.97
526,618.375
502,614.73
511,617.87
488,598.045
537,622.89
507,602.135
490,579.87
496,580.625
505,591.75
514,600.94
388,479.535
403,483.3
399,485.145
488,554.33
458,568.52
479,581.675
476,584.05
491,566.435
478,562.51
478,557.99
472,541.755
444,513.07
432,520.69
472,520.63
461,514.765
447,525.76
467,529.125
425,530.25
411,509.65
411,511.84
454,536.755
462,541.48
447,538.845
400,509.475
450,508.88
411,487.93
435,478.71
377,461.17
417,473.27
435,488.325
449,513.965
451,513.125
460,516.24
412,504.29
438,488.785
430,480.34
446,490.475
434,488.535
449,506.05
492,549.13
444,516.185
460,510.01
411,498.39
438,492.235
438,485.76
366,451.79
296,380.43
327,398.765
339,403.52
334,408.085
406,459.985
444,497.41
426,494.275
456,500.655
460,531.67
471,528.525
447,521.115
462,528.795
435,503.085
444,498.325
415,500.3
444,502.875
439,514.715
460,537.315
449,523.515
481,543.14
450,523.07
450,501.15
503,571.495
464,551.73
457,551.24
490,547.585
380,483.065
406,483.305
469,530.645
481,553.135
471,557.59
432,535.375
451,532.63
476,554.595
439,526.26
527,599.14
439,564.82
447,544.605
452,540.13
457,533.5
514,597.375
481,606.025
445,558.435
499,574.605
439,540.62
485,569.27
484,577.3
442,550.535
465,551.615
404,520.345
394,507.88
497,556.79
444,546.15
460,547.67
375,459.665
394,458.995
355,426.11
433,498.285
492,554.14
442,542.45
471,542.505
357,477.265
452,538.21
484,577.06
438,545.185
461,543.08
419,513.405
451,538.86
451,545.385
371,468.56
401,475.32
434,499.775
416,490.535
468,556.285
454,550.21
467,559.195
444,561.29
468,550.725
442,542.8
481,569.38
444,563.425
444,542.02
454,541.86
435,501.745
370,455.3
406,472.01
408,444.035
352,416.35
403,434.115
370,424.405
385,410.72
360,388.88
331,366.665
366,377.54
366,378.81
355,367.2
352,381.615
334,345.605
301,335.7
292,318.815
319,339.49
312,351.405
289,314.17
312,326.875
304,325.89
296,313.595
370,369.495
277,294.345
282,293.59
300,294.61
313,311.01
295,321.075
285,325.745
285,314.21
289,301.965
278,289.15
334,320.94
298,308.55
263,277.33
244,261.075
240,254.0
214,230.185
214,232.085
212,228.98
237,251.19
155,166.11
170,168.26
184,221.34
225,213.47
137,163.355
147,145.395
204,194.21
185,188.255
159,152.57
133,127.92
115,126.895
122,127.49
85,111.31
111,114.26
111,112.935
133,126.465
101,107.66
85,99.86
108,101.985
88,90.925
95,90.465
