real,pre
59,108.07686392357209
82,102.47982552159169
82,96.87265868569966
72,91.28295083178409
92,85.73746715847847
73,80.26211806733545
47,74.88192850767064
54,69.62100910130948
63,64.50252917546254
70,59.548691851175136
52,54.78071098360965
43,50.218790202244236
51,45.8821039889317
44,41.78878077446166
40,37.955888175688415
48,34.399420340444294
41,31.13428732477587
62,28.174306680585687
48,25.532197124509594
38,23.219574339107567
64,21.24694887800115
37,19.623726142825717
41,18.358208537282735
32,17.45759961859312
43,16.92801029885436
49,16.774467107336022
34,17.000922408331462
37,17.610266586808166
29,18.604342160104807
30,19.983959744406548
47,21.748915863077173
38,23.89801253489736
32,26.429078575374206
46,29.338992576988403
46,32.62370751240974
42,36.27827684130489
38,40.296882160057976
46,44.6728621999755
30,49.39874322389028
46,54.466270673589406
51,59.86644197283749
44,65.58954050382636
44,71.62517058577032
50,77.96229341169828
59,84.58926385295695
61,91.4938680596722
47,98.66336175021615
52,106.08450912120497
64,113.74362228136533
55,121.6266011066291
58,129.71897348978086
68,138.00593575646394
56,146.47239337765973
101,155.1030016632376
92,163.8822064345145
162,172.79428472645145
130,181.82338516224536
137,190.95356814197794
137,200.16884566123417
126,209.4532206618278
115,218.79072585758922
133,228.16546205800796
155,237.56163565214865
211,246.96359544683855
256,256.3558686119427
237,265.7231957870831
315,275.05056511488283
319,284.3232453160754
401,293.52681761447093
330,302.64720650425625
357,311.67070926432825
321,320.5840242331051
356,329.3742777194334
366,338.02904952642666
394,346.53639706242393
461,354.88487792623255
504,363.0635711104251
550,371.0620965102589
514,378.87063293571464
547,386.4799345485194
548,393.88134563869744
530,401.0668137189391
517,408.02890104253856
484,414.76079443053413
572,421.2563133928029
517,427.5099166481982
526,433.516706830218
502,439.27243369860935
511,444.7734955547776
488,450.0169390880951
537,455.0004575447115
507,459.72238731183324
490,464.18170294305173
496,468.3780105329529
505,472.31153968080844
514,475.9831339014886
388,479.3942395656427
403,482.5468935207632
399,485.44370918795767
488,488.087861538605
458,490.48307060704747
479,492.6335839248154
476,494.5441577718898
491,496.22003726672983
478,497.66693544918917
478,498.8910114289424
472,499.8988475828387
444,500.6974258258847
432,501.29410330478686
472,501.69658718044093
461,501.9129088679124
447,501.95139767637056
467,501.82065401399495
425,501.52952207345015
411,501.0870622578136
411,500.5025233049996
454,499.7853141632936
462,498.9449758484193
447,497.9911531333978
400,496.9335663674633
450,495.78198323173046
411,494.5461909156752
435,493.23596828594737
377,491.8610584963276
417,490.43114196664965
435,488.95580974219547
449,487.444537443896
451,485.90665973617934
460,484.3513455221523
412,482.78757364470357
438,481.2241096653338
430,479.669483042107
446,478.13196555339664
434,476.61955043644
449,475.13993247669123
492,473.70048923442073
444,472.30826314485375
460,470.9699449359082
411,469.69185792813687
438,468.47994365995464
438,467.33974862426794
366,466.2764122584299
296,465.2946561001495
327,464.3987743470275
339,463.59262550149606
334,462.879625423951
406,462.2627415949278
444,461.7444887954257
426,461.32692602492307
456,461.0116546088443
460,460.7998178102148
471,460.69210157375664
447,460.68873655251946
462,460.7895015512472
435,460.9937280002482
444,461.30030576464696
415,461.70769018155397
444,462.21391017414817
439,462.8165775335415
460,463.51289739871163
449,464.2996796907787
481,465.17335160869834
450,466.12997113535084
450,467.16524154091667
503,468.27452660667177
464,469.4528669784863
457,470.69499704067266
490,471.9953627745431
380,473.34814012808556
406,474.74725414888735
469,476.18639870262405
481,477.65905656214954
471,479.15852023449906
432,480.6779129242509
451,482.2102100210518
476,483.74826081371566
439,485.284810361763
527,486.81252169394565
439,488.3239979189543
447,489.81180447542056
452,491.26849134382564
457,492.6866151822628
514,494.05876120968014
481,495.3775650375951
445,496.6357340549489
499,497.826068652977
439,498.9414829194334
485,499.97502496946754
484,500.91989668254746
442,501.7694730501621
465,502.5173207357634
404,503.1572160165829
394,503.68316214547804
497,504.08940574350845
444,504.3704526306151
460,504.52108256713245
375,504.5363633260763
394,504.4116637331549
355,504.1426657406605
433,503.7253756300611
492,503.1561340538733
442,502.4316251331452
471,501.54888445632014
357,500.5053059980214
452,499.2986479022197
484,497.9270372403057
438,496.388973479226
461,494.6833310058187
419,492.8093602955428
451,490.7666880968841
451,488.5553163563395
371,486.17562013916313
401,483.6283441991741
434,480.9145985917071
416,478.03585310121844
468,474.9939305404928
454,471.7909990794483
467,468.42956329199797
444,464.91245443068465
468,461.2428193934952
442,457.4241089856346
481,453.4600650057414
444,449.3547065507714
444,445.11231534146054
454,440.7374202235346
435,436.23478091930656
370,431.60937091372534
406,426.866359712561
408,422.01109436552133
352,417.04908036827464
403,411.98596201328246
370,406.827502163394
385,401.5795616368682
360,396.24807809019467
331,390.83904454157664
366,385.35848762967134
366,379.81244556997035
355,374.2069459625832
352,368.54798338697356
334,362.8414969765704
301,357.09334791506035
292,351.30929702603817
319,345.49498245012137
312,339.65589731624414
289,333.7973678646499
312,327.9245316223801
304,322.04231603618746
296,316.15541738405364
370,310.2682801358874
277,304.38507685854483
282,298.5096885504804
300,292.6456856410273
313,286.7963095659702
295,280.96445508474926
285,275.1526532752009
285,269.3630553037051
289,263.59741705464467
278,257.8570845322879
334,252.1429802829639
298,246.45559063069004
263,240.79495392721356
244,235.16064979529392
240,229.55178942499106
214,223.96700689506315
214,218.4044515964174
212,212.86178174330917
237,207.33615901518124
155,201.824244365494
170,196.32219494192896
184,190.82566221490333
225,185.3297912994435
137,179.82922138253844
147,174.31808744212822
204,168.79002309888665
185,163.2381646654444
159,157.65515641758748
133,152.0331570124158
115,146.36384707953175
122,140.63843798645894
85,134.84768176010175
111,128.9818821195272
111,123.03090663490502
133,116.98419995524227
101,110.83079810243862
85,104.55934387197112
108,98.15810313537577
88,91.61498219349369
95,84.91754606437235
