real,pre
59,105.966774
82,104.332794
82,105.4496
72,100.69339
92,96.122505
73,83.44099
47,89.99727
54,84.44762
63,83.90088
70,87.71836
52,82.864975
43,70.30052
51,69.07479
44,71.7997
40,85.034485
48,84.5739
41,73.21048
62,68.02447
48,71.28838
38,66.01507
64,74.45732
37,52.718838
41,61.317543
32,61.862057
43,61.67496
49,61.761227
34,60.738564
37,61.145824
29,58.99508
30,57.822384
47,56.609657
38,66.6639
32,53.40361
46,61.59096
46,61.15561
42,65.60871
38,58.570328
46,76.62502
30,54.28601
46,64.80357
51,65.34447
44,67.07461
44,78.03045
50,75.322334
59,74.85427
61,77.515724
47,79.88375
52,85.56954
64,87.73762
55,78.27921
58,88.80457
68,96.581474
56,99.08085
101,104.45731
92,116.43705
162,155.60732
130,154.39513
137,160.50352
137,155.4257
126,139.12735
115,141.1978
133,160.6689
155,191.68068
211,227.22704
256,267.82294
237,284.29044
315,321.0376
319,361.37625
401,405.20633
330,377.46664
357,393.6304
321,368.78726
356,382.25626
366,386.3323
394,444.3275
461,497.30994
504,554.52405
550,584.048
514,575.0156
547,604.1255
548,634.3836
530,603.44543
517,579.7418
484,547.13727
572,590.5883
517,560.5595
526,561.54297
502,583.86255
511,573.3923
488,534.5001
537,596.8437
507,551.8595
490,559.7419
496,560.03094
505,566.35583
514,546.68536
388,490.30438
403,507.08377
399,489.6097
488,508.19162
458,532.52014
479,543.4853
476,526.96405
491,547.534
478,543.54443
478,535.2216
472,534.5097
444,510.9359
432,499.5208
472,502.7338
461,504.52774
447,504.07022
467,501.44354
425,500.8016
411,490.25134
411,498.64172
454,510.26126
462,542.1599
447,524.8291
400,477.1128
450,491.48987
411,474.16785
435,482.23566
377,455.75903
417,473.73828
435,482.26077
449,491.3804
451,492.89706
460,497.18552
412,494.4365
438,500.0257
430,489.34946
446,473.04727
434,482.4744
449,494.35367
492,526.6422
444,486.27582
460,477.69232
411,474.32755
438,476.21982
438,476.19467
366,456.61526
296,423.52347
327,431.0114
339,426.64767
334,442.11862
406,472.059
444,493.54654
426,487.89832
456,488.34857
460,506.4903
471,510.69516
447,506.78546
462,519.65015
435,499.39368
444,492.563
415,491.4526
444,495.6231
439,495.5751
460,528.4473
449,510.5989
481,523.64844
450,510.24673
450,490.95236
503,541.0039
464,527.64667
457,532.0244
490,521.4509
380,461.04205
406,482.508
469,530.17676
481,543.66113
471,537.9974
432,525.117
451,515.142
476,514.17444
439,514.9852
527,560.0578
439,528.77203
447,516.5796
452,517.2766
457,522.3265
514,572.15155
481,568.11993
445,533.89514
499,534.36145
439,513.7618
485,556.268
484,548.60223
442,556.72235
465,538.73096
404,510.28076
394,530.40796
497,544.0991
444,532.31
460,531.7364
375,493.21124
394,496.43497
355,479.15927
433,513.9019
492,556.3717
442,505.6237
471,530.57245
357,483.1126
452,527.9741
484,547.293
438,530.86145
461,542.71826
419,532.1226
451,530.44574
451,512.7961
371,488.89108
401,496.5463
434,490.8342
416,497.89542
468,535.6025
454,502.63257
467,522.6828
444,524.7638
468,520.25385
442,526.94165
481,554.5027
444,535.20624
444,522.21
454,509.9199
435,480.9642
370,459.21466
406,466.1396
408,449.1592
352,433.36237
403,439.70505
370,426.4414
385,408.20496
360,387.8061
331,374.29614
366,379.4643
366,390.4529
355,376.75037
352,379.55222
334,361.77176
301,347.28226
292,331.3128
319,358.30966
312,356.24985
289,337.01666
312,339.39926
304,335.87186
296,327.27664
370,365.01895
277,315.46396
282,307.05203
300,303.67633
313,322.08142
295,336.8873
285,339.4528
285,332.38837
289,326.913
278,302.479
334,330.87216
298,304.29968
263,295.68893
244,281.01892
240,274.23706
214,256.64542
214,263.18826
212,261.21353
237,273.58044
155,206.31645
170,212.6591
184,252.42412
225,239.40678
137,182.37665
147,173.14865
204,230.51851
185,216.53534
159,180.10176
133,153.32011
115,160.3603
122,158.99915
85,146.55663
111,141.92818
111,147.89455
133,155.00801
101,130.08331
85,127.159004
108,133.67894
88,127.3544
95,121.027336
