real,pre
72.3,74.88839
70.85,74.32855
69.625,73.2137
70.25,73.576584
70.525,73.16765
72.175,75.15367
71.625,74.85838
70.225,73.55624
70.725,73.42788
70.975,74.35135
71.9,73.73457
70.375,73.33143
71.175,74.89731
71.575,74.988075
70.525,74.17491
71.925,74.84841
70.5,73.19599
69.025,70.84419
69.625,73.12949
69.975,73.188866
71.8,74.52935
71.8,74.40066
69.25,73.84447
73.7,75.36706
70.4,74.757866
72.65,73.80783
70.4,73.1252
70.525,73.5292
71.85,75.061485
72.775,75.01334
70.875,73.03847
71.475,74.582214
71.8,75.39642
70.65,74.68404
71.85,74.15162
68.575,72.28677
70.775,73.924866
72.075,74.08301
72.5,74.681656
70.375,73.21578
71.475,74.56746
70.925,75.42662
69.425,73.82936
70.675,73.81287
71.525,75.03074
71.175,74.47094
71.175,73.93729
70.675,73.53934
70.75,73.512344
72.375,73.80782
71.55,74.35824
71.55,74.79291
71.425,74.53404
70.325,73.98438
71.05,74.347565
71.975,75.81224
72.9,75.537155
70.75,75.13374
71.8,75.80584
72.9,76.27121
72.225,76.06408
71.175,74.935844
71.55,75.387695
72.375,75.702484
71.025,74.89382
72.675,75.325455
71.3,74.75624
70.9,74.748764
71.175,74.531815
71.575,75.112175
71.1,75.1168
70.225,74.607185
71.175,74.66565
71.4,74.96951
70.425,74.12894
69.025,73.31646
68.225,72.19803
68.55,71.65917
69.55,72.30849
68.55,72.01033
68.525,70.27995
66.425,69.318
66.725,63.073368
63.1,64.857735
63.6,62.356144
61.925,59.615433
57.6,58.1606
59.45,61.48951
62.425,61.109962
65.275,59.268047
62.85,60.16139
52.2,50.45667
47.075,51.779644
50.325,52.80936
57.0,55.0544
51.825,46.992775
40.525,46.86409
43.425,49.317524
39.175,48.889153
50.7,45.06235
56.175,58.47948
58.025,56.019154
52.625,56.054054
53.325,54.50343
51.875,55.702007
53.4,55.953735
49.475,56.728447
49.875,59.08189
49.775,56.735065
51.2,58.626183
54.55,58.99344
55.075,58.89284
59.85,62.522427
47.875,53.22366
51.825,55.545616
51.825,53.6857
47.75,57.51288
58.2,62.328125
67.475,66.0497
68.275,71.39836
67.925,71.390396
70.225,72.557396
68.5,71.78961
68.725,71.926636
69.25,72.31783
68.275,71.70838
68.05,70.51357
68.5,71.50706
68.425,71.618324
67.4,70.769516
68.075,70.83311
69.375,71.73633
67.925,71.22894
69.025,71.95848
68.275,71.11317
67.475,69.80025
68.675,60.634785
68.675,64.75778
68.275,60.884598
68.35,61.38094
66.675,57.245926
42.925,48.90354
36.475,45.005253
37.55,43.549484
33.825,49.000492
37.25,52.73466
55.45,57.626625
69.1,61.591873
69.1,62.891068
69.025,64.374344
68.525,63.37117
69.45,70.71543
68.2,70.275505
68.375,70.13432
69.1,71.717415
69.55,72.15373
68.575,71.258575
69.7,71.97871
68.875,70.707405
67.7,70.8539
68.625,71.233154
67.15,71.45407
68.875,70.95132
68.975,71.257065
67.925,69.71681
68.575,68.84621
67.4,69.544975
68.0,70.79862
68.875,71.66021
68.875,71.42362
68.225,71.24234
68.05,69.98793
66.525,69.032684
68.7,68.595665
66.1,69.45416
66.875,65.49592
68.725,68.347084
65.525,63.88926
59.45,60.7513
66.45,64.18564
66.975,67.65529
67.925,70.21688
67.025,68.85937
66.975,67.60123
69.25,58.739685
63.4,58.04487
55.975,55.070877
56.175,56.727844
64.425,61.04345
55.9,57.602177
62.65,59.67487
60.925,54.83564
42.025,56.60389
50.525,52.825333
58.275,54.366146
58.875,52.409283
36.9,45.516582
37.2,42.150986
35.3,46.900265
47.55,49.500004
57.975,55.163116
57.325,50.15847
56.325,52.922565
39.925,50.179314
56.5,56.92148
61.1,60.30889
49.025,53.231026
52.5,53.458797
42.825,52.404865
52.0,50.695515
51.875,47.73066
42.55,49.112415
40.925,50.325943
47.575,45.728745
41.25,45.51389
52.625,53.85965
60.275,53.09573
63.4,54.11513
64.225,61.30593
67.825,65.4812
68.725,70.67333
69.025,69.063835
69.325,71.524536
68.275,71.12457
69.1,72.170494
70.525,72.98893
69.325,72.77791
70.9,73.814026
69.475,73.346405
70.675,73.93455
70.4,73.82865
70.3,74.074745
70.15,73.95245
69.775,74.10228
71.55,74.50576
71.05,74.59175
71.025,74.52593
70.775,74.49919
71.575,74.67425
71.575,75.15694
71.4,74.88797
71.275,70.658295
71.675,74.11175
70.6,74.61105
71.3,74.6866
70.975,74.249725
71.7,74.838234
70.6,74.21661
69.575,73.67165
71.425,74.6146
71.3,74.263985
69.6,73.1864
69.775,72.20697
70.325,72.368805
70.05,72.295204
70.375,72.63799
70.25,72.58454
70.225,72.96371
70.425,72.361855
70.675,73.47748
72.075,73.62907
70.6,73.58029
71.775,73.93002
72.175,73.649704
70.275,73.489555
71.5,73.802475
70.575,72.93498
70.4,73.24375
72.175,75.11342
71.275,74.1226
71.475,73.14561
70.675,73.96438
71.575,74.62517
72.175,75.07162
69.975,73.64019
71.65,73.94892
70.975,73.98258
72.0,75.00058
71.85,75.11709
71.725,75.56569
72.25,74.95503
72.575,75.698494
71.8,74.75328
71.4,74.84655
73.125,75.36631
71.175,73.70564
70.875,73.7546
70.95,74.27435
